*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
_,950x950,溶接,□-950x950x80,950,950,80,0,2784,2185,3540000,35.7,74600,91100,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x25,1000,1000,25,0,975,765,1550000,39.8,30900,35700,,,FC,FD,FD
_,1000x1000,溶接,□-1000x1000x28,1000,1000,28,0,1089,855,1720000,39.7,34300,39700,,,FC,FC,FD
_,1000x1000,溶接,□-1000x1000x32,1000,1000,32,0,1239,973,1940000,39.5,38700,45000,,,FB,FC,FC
_,1000x1000,溶接,□-1000x1000x36,1000,1000,36,0,1388,1090,2150000,39.4,43100,50200,,,FA,FB,FC
_,1000x1000,溶接,□-1000x1000x40,1000,1000,40,0,1536,1206,2360000,39.2,47300,55300,,,FA,FA,FB
_,1000x1000,溶接,□-1000x1000x45,1000,1000,45,0,1719,1349,2620000,39,52400,61600,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x50,1000,1000,50,0,1900,1492,2870000,38.8,57300,67800,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x55,1000,1000,55,0,2079,1632,3100000,38.6,62100,73800,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x60,1000,1000,60,0,2256,1771,3340000,38.5,66700,79600,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x65,1000,1000,65,0,2431,1908,3560000,38.3,71200,85400,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x70,1000,1000,70,0,2604,2044,3770000,38.1,75500,91000,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x75,1000,1000,75,0,2775,2178,3980000,37.9,79700,96500,,,FA,FA,FA
_,1000x1000,溶接,□-1000x1000x80,1000,1000,80,0,2944,2311,4180000,37.7,83700,102000,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x28,1050,1050,28,0,1145,899,1990000,41.7,38000,43900,,,FC,FC,FD
_,1050x1050,溶接,□-1050x1050x32,1050,1050,32,0,1303,1023,2250000,41.6,42900,49800,,,FC,FC,FC
_,1050x1050,溶接,□-1050x1050x36,1050,1050,36,0,1460,1146,2510000,41.4,47700,55500,,,FB,FC,FC
_,1050x1050,溶接,□-1050x1050x40,1050,1050,40,0,1616,1269,2750000,41.3,52400,61200,,,FA,FB,FB
_,1050x1050,溶接,□-1050x1050x45,1050,1050,45,0,1809,1420,3050000,41.1,58100,68200,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x50,1050,1050,50,0,2000,1570,3340000,40.9,63700,75100,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x55,1050,1050,55,0,2189,1718,3620000,40.7,69000,81800,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x60,1050,1050,60,0,2376,1865,3900000,40.5,74200,88300,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x65,1050,1050,65,0,2561,2010,4160000,40.3,79200,94700,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x70,1050,1050,70,0,2744,2154,4410000,40.1,84100,101000,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x75,1050,1050,75,0,2925,2296,4660000,39.9,88800,107000,,,FA,FA,FA
_,1050x1050,溶接,□-1050x1050x80,1050,1050,80,0,3104,2437,4900000,39.7,93300,113000,,,FA,FA,FA
