*,key,種類,D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325,幅厚比355,幅厚比385,幅厚比440
_,〇-800x32,UOE/板巻き,800,32,772.1,606,570000,27.2,14300,18900,FA,FA,FA,FA,FA
_,〇-800x36,UOE/板巻き,800,36,864.1,678,632000,27,15800,21000,FA,FA,FA,FA,FA
_,〇-800x40,UOE/板巻き,800,40,955,750,691000,26.9,17300,23100,FA,FA,FA,FA,FA
_,〇-800x45,UOE/板巻き,800,45,1067,838,763000,26.7,19100,25700,FA,FA,FA,FA,FA
_,〇-800x50,UOE/板巻き,800,50,1178,925,832000,26.6,20800,28200,FA,FA,FA,FA,FA
_,〇-800x55,UOE/板巻き,800,55,1287,1010,898000,26.4,22400,30600,FA,FA,FA,FA,FA
_,〇-800x60,UOE/板巻き,800,60,1395,1095,961000,26.2,24000,32900,FA,FA,FA,FA,FA
_,〇-800x65,UOE/板巻き,800,65,1501,1178,1020000,26.1,25500,35200,FA,FA,FA,FA,FA
_,〇-800x70,UOE/板巻き,800,70,1605,1260,1080000,25.9,27000,37400,FA,FA,FA,FA,FA
_,〇-850x16,UOE/板巻き,850,16,419.2,329,365000,29.5,8580,11100,FB,FC,FC,,
_,〇-850x19,UOE/板巻き,850,19,496,389,428000,29.4,10100,13100,FA,FB,FB,FC,FC
_,〇-850x22,UOE/板巻き,850,22,572.3,449,491000,29.3,11500,15100,FA,FB,FB,FB,FC
_,〇-850x25,UOE/板巻き,850,25,648,509,552000,29.2,13000,17000,FA,FA,FB,FB,FB
_,〇-850x28,UOE/板巻き,850,28,723.1,568,611000,29.1,14400,18900,FA,FA,FA,FA,FB
_,〇-850x32,UOE/板巻き,850,32,822.3,646,689000,28.9,16200,21400,FA,FA,FA,FA,FA
_,〇-850x36,UOE/板巻き,850,36,920.6,723,764000,28.8,18000,23900,FA,FA,FA,FA,FA
_,〇-850x40,UOE/板巻き,850,40,1018,799,837000,28.7,19700,26300,FA,FA,FA,FA,FA
_,〇-850x45,UOE/板巻き,850,45,1138,893,925000,28.5,21800,29200,FA,FA,FA,FA,FA
_,〇-850x50,UOE/板巻き,850,50,1257,986,1010000,28.3,23700,32000,FA,FA,FA,FA,FA
_,〇-850x55,UOE/板巻き,850,55,1374,1078,1090000,28.2,25700,34800,FA,FA,FA,FA,FA
_,〇-850x60,UOE/板巻き,850,60,1489,1169,1170000,28,27500,37500,FA,FA,FA,FA,FA
_,〇-850x65,UOE/板巻き,850,65,1603,1258,1240000,27.8,29300,40100,FA,FA,FA,FA,FA
_,〇-850x70,UOE/板巻き,850,70,1715,1346,1310000,27.7,30900,42700,FA,FA,FA,FA,FA
_,〇-900x19,UOE/板巻き,900,19,525.9,413,510000,31.2,11300,14700,FA,FB,FC,FC,FC
_,〇-900x22,UOE/板巻き,900,22,606.8,476,585000,31.1,13000,17000,FA,FB,FB,FB,FC
_,〇-900x25,UOE/板巻き,900,25,687.2,539,658000,30.9,14600,19100,FA,FA,FB,FB,FB
_,〇-900x28,UOE/板巻き,900,28,767.1,602,730000,30.8,16200,21300,FA,FA,FA,FB,FB
_,〇-900x32,UOE/板巻き,900,32,872.6,685,823000,30.7,18300,24100,FA,FA,FA,FA,FB
_,〇-900x36,UOE/板巻き,900,36,977.2,767,913000,30.6,20300,26900,FA,FA,FA,FA,FA
_,〇-900x40,UOE/板巻き,900,40,1081,848,1000000,30.4,22300,29600,FA,FA,FA,FA,FA
_,〇-900x45,UOE/板巻き,900,45,1209,949,1110000,30.3,24600,32900,FA,FA,FA,FA,FA
_,〇-900x50,UOE/板巻き,900,50,1335,1048,1210000,30.1,26900,36200,FA,FA,FA,FA,FA
_,〇-900x55,UOE/板巻き,900,55,1460,1146,1310000,29.9,29100,39300,FA,FA,FA,FA,FA
_,〇-900x60,UOE/板巻き,900,60,1583,1243,1400000,29.8,31200,42400,FA,FA,FA,FA,FA
_,〇-900x65,UOE/板巻き,900,65,1705,1338,1500000,29.6,33200,45400,FA,FA,FA,FA,FA
_,〇-900x70,UOE/板巻き,900,70,1825,1433,1580000,29.4,35200,48300,FA,FA,FA,FA,FA
_,〇-950x19,UOE/板巻き,950,19,555.7,436,602000,32.9,12700,16500,FA,FB,FC,FC,FC
_,〇-950x22,UOE/板巻き,950,22,641.4,503,691000,32.8,14500,18900,FA,FB,FB,FC,FC
_,〇-950x25,UOE/板巻き,950,25,726.5,570,778000,32.7,16400,21400,FA,FB,FB,FB,FC
_,〇-950x28,UOE/板巻き,950,28,811,637,863000,32.6,18200,23800,FA,FA,FB,FB,FB
_,〇-950x32,UOE/板巻き,950,32,922.9,724,973000,32.5,20500,27000,FA,FA,FA,FA,FB
_,〇-950x36,UOE/板巻き,950,36,1034,811,1080000,32.3,22800,30100,FA,FA,FA,FA,FA
_,〇-950x40,UOE/板巻き,950,40,1144,898,1190000,32.2,25000,33100,FA,FA,FA,FA,FA
_,〇-950x45,UOE/板巻き,950,45,1279,1004,1310000,32,27600,36900,FA,FA,FA,FA,FA
_,〇-950x50,UOE/板巻き,950,50,1414,1110,1440000,31.9,30200,40500,FA,FA,FA,FA,FA
_,〇-950x55,UOE/板巻き,950,55,1546,1214,1550000,31.7,32700,44100,FA,FA,FA,FA,FA
_,〇-950x60,UOE/板巻き,950,60,1678,1317,1670000,31.5,35100,47600,FA,FA,FA,FA,FA
_,〇-950x65,UOE/板巻き,950,65,1807,1419,1780000,31.4,37400,51000,FA,FA,FA,FA,FA
_,〇-950x70,UOE/板巻き,950,70,1935,1519,1890000,31.2,39700,54300,FA,FA,FA,FA,FA
_,〇-1000x19,UOE/板巻き,1000,19,585.6,460,705000,34.7,14100,18300,FB,FC,FC,FC,FC
_,〇-1000x22,UOE/板巻き,1000,22,675.9,531,809000,34.6,16200,21000,FA,FB,FB,FC,FC
_,〇-1000x25,UOE/板巻き,1000,25,765.8,601,911000,34.5,18200,23800,FA,FB,FB,FB,FC
_,〇-1000x28,UOE/板巻き,1000,28,855,671,1010000,34.4,20200,26500,FA,FA,FB,FB,FB
_,〇-1000x32,UOE/板巻き,1000,32,973.1,764,1140000,34.2,22800,30000,FA,FA,FA,FB,FB
_,〇-1000x36,UOE/板巻き,1000,36,1090,856,1270000,34.1,25400,33500,FA,FA,FA,FA,FB
_,〇-1000x40,UOE/板巻き,1000,40,1206,947,1390000,34,27800,36900,FA,FA,FA,FA,FA
_,〇-1000x45,UOE/板巻き,1000,45,1350,1060,1540000,33.8,30900,41100,FA,FA,FA,FA,FA
_,〇-1000x50,UOE/板巻き,1000,50,1492,1171,1690000,33.6,33800,45200,FA,FA,FA,FA,FA
_,〇-1000x55,UOE/板巻き,1000,55,1633,1282,1830000,33.5,36600,49200,FA,FA,FA,FA,FA
_,〇-1000x60,UOE/板巻き,1000,60,1772,1391,1960000,33.3,39300,53100,FA,FA,FA,FA,FA
_,〇-1000x65,UOE/板巻き,1000,65,1909,1499,2100000,33.1,41900,56900,FA,FA,FA,FA,FA
_,〇-1000x70,UOE/板巻き,1000,70,2045,1605,2220000,33,44500,60700,FA,FA,FA,FA,FA
_,〇-1100x19,UOE/板巻き,1100,19,645.3,506,943000,38.2,17100,22200,FB,FC,FC,FC,FD
_,〇-1100x22,UOE/板巻き,1100,22,745.1,585,1080000,38.1,19700,25600,FA,FB,FC,FC,FC
_,〇-1100x25,UOE/板巻き,1100,25,844.3,663,1220000,38,22200,28900,FA,FB,FB,FC,FC
_,〇-1100x28,UOE/板巻き,1100,28,943,740,1360000,37.9,24600,32200,FA,FB,FB,FB,FC
_,〇-1100x32,UOE/板巻き,1100,32,1074,843,1530000,37.8,27900,36500,FA,FA,FB,FB,FB
_,〇-1100x36,UOE/板巻き,1100,36,1203,945,1700000,37.6,31000,40800,FA,FA,FA,FB,FB
_,〇-1100x40,UOE/板巻き,1100,40,1332,1046,1870000,37.5,34100,45000,FA,FA,FA,FA,FB
_,〇-1100x45,UOE/板巻き,1100,45,1491,1171,2080000,37.3,37800,50100,FA,FA,FA,FA,FA
_,〇-1100x50,UOE/板巻き,1100,50,1649,1295,2280000,37.2,41400,55200,FA,FA,FA,FA,FA
_,〇-1100x55,UOE/板巻き,1100,55,1806,1417,2470000,37,44900,60100,FA,FA,FA,FA,FA
_,〇-1100x60,UOE/板巻き,1100,60,1960,1539,2660000,36.8,48300,65000,FA,FA,FA,FA,FA
_,〇-1100x65,UOE/板巻き,1100,65,2114,1659,2840000,36.7,51700,69700,FA,FA,FA,FA,FA
_,〇-1100x70,UOE/板巻き,1100,70,2265,1778,3020000,36.5,54900,74400,FA,FA,FA,FA,FA
_,〇-1200x19,UOE/板巻き,1200,19,704.9,553,1230000,41.8,20500,26500,FB,FC,FC,FD,FD
_,〇-1200x22,UOE/板巻き,1200,22,814.2,639,1410000,41.7,23500,30500,FB,FC,FC,FC,FD
_,〇-1200x25,UOE/板巻き,1200,25,922.8,724,1590000,41.6,26600,34500,FA,FB,FC,FC,FC
_,〇-1200x28,UOE/板巻き,1200,28,1031,809,1770000,41.4,29500,38500,FA,FB,FB,FC,FC
_,〇-1200x32,UOE/板巻き,1200,32,1174,922,2000000,41.3,33400,43700,FA,FB,FB,FB,FC
_,〇-1200x36,UOE/板巻き,1200,36,1316,1033,2230000,41.2,37200,48800,FA,FA,FB,FB,FB
_,〇-1200x40,UOE/板巻き,1200,40,1458,1144,2450000,41,40900,53800,FA,FA,FA,FA,FB
_,〇-1200x45,UOE/板巻き,1200,45,1633,1282,2730000,40.9,45400,60100,FA,FA,FA,FA,FA
_,〇-1200x50,UOE/板巻き,1200,50,1806,1418,2990000,40.7,49900,66200,FA,FA,FA,FA,FA
_,〇-1200x55,UOE/板巻き,1200,55,1978,1553,3250000,40.5,54200,72200,FA,FA,FA,FA,FA
_,〇-1200x60,UOE/板巻き,1200,60,2149,1687,3500000,40.4,58300,78000,FA,FA,FA,FA,FA
_,〇-1200x65,UOE/板巻き,1200,65,2318,1819,3740000,40.2,62400,83800,FA,FA,FA,FA,FA
_,〇-1200x70,UOE/板巻き,1200,70,2485,1951,3980000,40,66400,89500,FA,FA,FA,FA,FA
_,〇-101.6x3.2,電縫,101.6,3.2,9.892,7.76,120,3.48,23.6,31,FA,
_,〇-101.6x4.2,電縫,101.6,4.2,12.85,10.1,153,3.45,30.1,39.9,FA,
_,〇-101.6x5.7,電縫,101.6,5.7,17.17,13.5,198,3.4,39,52.5,FA,
_,〇-114.3x3.5,電縫,114.3,3.5,12.18,9.56,187,3.92,32.7,43,FA,
_,〇-114.3x4.5,電縫,114.3,4.5,15.52,12.2,234,3.89,41,54.3,FA,FA
_,〇-114.3x8.6,電縫,114.3,8.6,28.56,22.4,401,3.75,70.2,96.3,FA,
_,〇-139.8x4.5,電縫,139.8,4.5,19.13,15,438,4.79,62.7,82.4,FA,FA
