key,α,β,γ,R,都道府県,市区町村郡
25,0.0052,2.97,0.29,40,長野県,上水内郡のうち豊野町、信濃町、牟礼村、三水村、戸隠村、鬼無里村、小川村及び中条村
25,0.0052,2.97,0.29,40,長野県,下水内郡
25,0.0052,2.97,0.29,40,岐阜県,岐阜市
25,0.0052,2.97,0.29,40,岐阜県,大垣市
25,0.0052,2.97,0.29,40,岐阜県,美濃市
25,0.0052,2.97,0.29,40,岐阜県,養老郡
25,0.0052,2.97,0.29,40,岐阜県,不破郡
25,0.0052,2.97,0.29,40,岐阜県,安八郡のうち神戸町
25,0.0052,2.97,0.29,40,岐阜県,揖斐郡
25,0.0052,2.97,0.29,40,岐阜県,本巣郡
25,0.0052,2.97,0.29,40,岐阜県,山県郡
25,0.0052,2.97,0.29,40,岐阜県,武儀郡のうち洞戸村、板取村及び武芸川町
25,0.0052,2.97,0.29,40,岐阜県,郡上郡
25,0.0052,2.97,0.29,40,岐阜県,大野郡のうち清見村、荘川村及び宮村
25,0.0052,2.97,0.29,40,岐阜県,吉城郡
25,0.0052,2.97,0.29,40,滋賀県,大津市
25,0.0052,2.97,0.29,40,滋賀県,彦根市
25,0.0052,2.97,0.29,40,滋賀県,長浜市
25,0.0052,2.97,0.29,40,滋賀県,近江八幡市
25,0.0052,2.97,0.29,40,滋賀県,八日市市
25,0.0052,2.97,0.29,40,滋賀県,草津市
25,0.0052,2.97,0.29,40,滋賀県,守山市
25,0.0052,2.97,0.29,40,滋賀県,滋賀郡
25,0.0052,2.97,0.29,40,滋賀県,栗太郡
25,0.0052,2.97,0.29,40,滋賀県,野洲郡
25,0.0052,2.97,0.29,40,滋賀県,蒲生郡のうち安土町及び竜王町
25,0.0052,2.97,0.29,40,滋賀県,神崎郡のうち五個荘町及び能登川町
25,0.0052,2.97,0.29,40,滋賀県,愛知郡
25,0.0052,2.97,0.29,40,滋賀県,犬上郡
25,0.0052,2.97,0.29,40,滋賀県,坂田郡
25,0.0052,2.97,0.29,40,滋賀県,東浅井郡
25,0.0052,2.97,0.29,40,滋賀県,伊香郡
25,0.0052,2.97,0.29,40,滋賀県,高島郡
25,0.0052,2.97,0.29,40,京都府,福知山市
25,0.0052,2.97,0.29,40,京都府,綾部市
25,0.0052,2.97,0.29,40,京都府,北桑田郡のうち美山町
25,0.0052,2.97,0.29,40,京都府,船井郡のうち和知町
25,0.0052,2.97,0.29,40,京都府,天田郡のうち夜久野町
25,0.0052,2.97,0.29,40,京都府,加佐郡
25,0.0052,2.97,0.29,40,兵庫県,朝来郡のうち和田山町及び山東町
26,0.0019,0,-0.16,0,群馬県,沼田市
26,0.0019,0,-0.16,0,群馬県,吾妻郡のうち中之条町、草津町、六合村及び高山村
26,0.0019,0,-0.16,0,群馬県,利根郡のうち白沢村、利根村、片品村、川場村、月夜野町、新治村及び昭和村
26,0.0019,0,-0.16,0,長野県,長野市
26,0.0019,0,-0.16,0,長野県,中野市
26,0.0019,0,-0.16,0,長野県,更埴市
26,0.0019,0,-0.16,0,長野県,木曽郡
26,0.0019,0,-0.16,0,長野県,東筑摩郡
26,0.0019,0,-0.16,0,長野県,南安曇郡
26,0.0019,0,-0.16,0,長野県,北安曇郡のうち池田町、松川村及び八坂村
26,0.0019,0,-0.16,0,長野県,更級郡
26,0.0019,0,-0.16,0,長野県,埴科郡
26,0.0019,0,-0.16,0,長野県,上高井郡
26,0.0019,0,-0.16,0,長野県,下高井郡のうち山ノ内町
26,0.0019,0,-0.16,0,長野県,上水内郡のうち信州新町
26,0.0019,0,-0.16,0,岐阜県,高山市
26,0.0019,0,-0.16,0,岐阜県,武儀郡のうち武儀町及び上之保村
26,0.0019,0,-0.16,0,岐阜県,加茂郡のうち白川町及び東白川村
26,0.0019,0,-0.16,0,岐阜県,恵那郡のうち坂下町、川上村、加子母村、付知町、福岡町及び蛭川村
26,0.0019,0,-0.16,0,岐阜県,益田郡
26,0.0019,0,-0.16,0,岐阜県,大野郡のうち丹生川村、久々野町、朝日村及び高根村
27,0.0005,6.26,0.12,40,山梨県,
27,0.0005,6.26,0.12,40,長野県,（（25）及び（26）に掲げる区域を除く）
28,0.0035,-2.33,2.72,40,岐阜県,（（24）から（26）に掲げる区域を除く）
28,0.0035,-2.33,2.72,40,新潟県,糸魚川市
28,0.0035,-2.33,2.72,40,新潟県,西頚城郡のうち能生町及び青海町
28,0.0035,-2.33,2.72,40,富山県,
28,0.0035,-2.33,2.72,40,福井県,
28,0.0035,-2.33,2.72,40,石川県,
29,0.01,-1.2,2.28,40,新潟県,三条市
29,0.01,-1.2,2.28,40,新潟県,新発田市
29,0.01,-1.2,2.28,40,新潟県,小千谷市
29,0.01,-1.2,2.28,40,新潟県,加茂市
29,0.01,-1.2,2.28,40,新潟県,十日町市
29,0.01,-1.2,2.28,40,新潟県,見附市
29,0.01,-1.2,2.28,40,新潟県,栃尾市
29,0.01,-1.2,2.28,40,新潟県,五泉市
29,0.01,-1.2,2.28,40,新潟県,北蒲原郡のうち安田町、笹神村、豊浦町及び黒川村
29,0.01,-1.2,2.28,40,新潟県,中蒲原郡のうち村松町
29,0.01,-1.2,2.28,40,新潟県,南蒲原郡のうち田上町、下田村及び栄町
29,0.01,-1.2,2.28,40,新潟県,東蒲原郡のうち三川村
29,0.01,-1.2,2.28,40,新潟県,古志郡
29,0.01,-1.2,2.28,40,新潟県,北魚沼郡
29,0.01,-1.2,2.28,40,新潟県,南魚沼郡
29,0.01,-1.2,2.28,40,新潟県,中魚沼郡
29,0.01,-1.2,2.28,40,新潟県,岩船郡のうち関川村
30,0.0052,-3.22,2.65,20,新潟県,（（22）、（28）及び（29）に掲げる区域を除く）
31,0.0076,1.51,0.62,40,京都府,舞鶴市
31,0.0076,1.51,0.62,40,京都府,宮津市
31,0.0076,1.51,0.62,40,京都府,与謝郡
31,0.0076,1.51,0.62,40,京都府,中郡
31,0.0076,1.51,0.62,40,京都府,竹野郡
31,0.0076,1.51,0.62,40,京都府,熊野郡
31,0.0076,1.51,0.62,40,兵庫県,豊岡市
31,0.0076,1.51,0.62,40,兵庫県,城崎郡
31,0.0076,1.51,0.62,40,兵庫県,出石郡
31,0.0076,1.51,0.62,40,兵庫県,美方郡
31,0.0076,1.51,0.62,40,兵庫県,養父郡
32,0.0009,0,0.21,0,三重県,
32,0.0009,0,0.21,0,大阪府,
32,0.0009,0,0.21,0,奈良県,
32,0.0009,0,0.21,0,和歌山県,
32,0.0009,0,0.21,0,滋賀県,（（25）に掲げる区域を除く）
32,0.0009,0,0.21,0,京都府,（（25）及び（31）に掲げる区域を除く）
32,0.0009,0,0.21,0,兵庫県,（（25）及び（31）に掲げる区域を除く）
33,0.0036,0.69,0.26,40,鳥取県,
33,0.0036,0.69,0.26,40,島根県,
33,0.0036,0.69,0.26,40,岡山県,阿哲郡のうち大佐町、神郷町及び哲西町
33,0.0036,0.69,0.26,40,岡山県,真庭郡
33,0.0036,0.69,0.26,40,岡山県,苫田郡
33,0.0036,0.69,0.26,40,広島県,三次市
33,0.0036,0.69,0.26,40,広島県,庄原市
33,0.0036,0.69,0.26,40,広島県,佐伯郡のうち吉和村
33,0.0036,0.69,0.26,40,広島県,山県郡
33,0.0036,0.69,0.26,40,広島県,高田郡
33,0.0036,0.69,0.26,40,広島県,双三郡のうち君田村、布野村、作木村及び三良坂町
33,0.0036,0.69,0.26,40,広島県,比婆郡
33,0.0036,0.69,0.26,40,山口県,萩市
33,0.0036,0.69,0.26,40,山口県,長門市
33,0.0036,0.69,0.26,40,山口県,豊浦郡のうち豊北町
33,0.0036,0.69,0.26,40,山口県,美祢郡
33,0.0036,0.69,0.26,40,山口県,大津郡
33,0.0036,0.69,0.26,40,山口県,阿武郡
34,0.0004,-0.21,0.33,40,岡山県,（（33）に掲げる区域を除く）
34,0.0004,-0.21,0.33,40,広島県,（（33）に掲げる区域を除く）
34,0.0004,-0.21,0.33,40,山口県,（（33）に掲げる区域を除く）
35,0.0011,-0.42,0.41,20,徳島県,
35,0.0011,-0.42,0.41,20,香川県,
35,0.0011,-0.42,0.41,20,愛媛県,今治市
35,0.0011,-0.42,0.41,20,愛媛県,新居浜市
35,0.0011,-0.42,0.41,20,愛媛県,西条市
35,0.0011,-0.42,0.41,20,愛媛県,川之江市
35,0.0011,-0.42,0.41,20,愛媛県,伊予三島市
35,0.0011,-0.42,0.41,20,愛媛県,東予市
35,0.0011,-0.42,0.41,20,愛媛県,宇摩郡
35,0.0011,-0.42,0.41,20,愛媛県,周桑郡
35,0.0011,-0.42,0.41,20,愛媛県,越智郡
35,0.0011,-0.42,0.41,20,愛媛県,上浮穴郡のうち面河村
36,0.0004,-0.65,0.28,40,高知県,（（37）に掲げる区域を除く）
37,0.0014,-0.69,0.49,20,愛媛県,（（35）に掲げる区域を除く）
37,0.0014,-0.69,0.49,20,高知県,中村市
37,0.0014,-0.69,0.49,20,高知県,宿毛市
37,0.0014,-0.69,0.49,20,高知県,土佐清水市
37,0.0014,-0.69,0.49,20,高知県,吾川郡のうち吾川村
37,0.0014,-0.69,0.49,20,高知県,高岡郡のうち中土佐町、窪川町、梼原町、大野見村、東津野村、葉山村及び仁淀村
37,0.0014,-0.69,0.49,20,高知県,幡多郡
38,0.0006,-0.09,0.21,20,福岡県,
38,0.0006,-0.09,0.21,20,佐賀県,
38,0.0006,-0.09,0.21,20,長崎県,
38,0.0006,-0.09,0.21,20,熊本県,
38,0.0006,-0.09,0.21,20,大分県,中津市
38,0.0006,-0.09,0.21,20,大分県,日田市
38,0.0006,-0.09,0.21,20,大分県,豊後高田市
38,0.0006,-0.09,0.21,20,大分県,宇佐市
38,0.0006,-0.09,0.21,20,大分県,西国東郡のうち真玉町及び香々地町、日田郡
38,0.0006,-0.09,0.21,20,大分県,下毛郡
39,0.0003,-0.05,0.1,20,大分県,（（38）に掲げる区域を除く）
39,0.0003,-0.05,0.1,20,宮崎県,
40,-0.0001,-0.32,0.46,20,鹿児島県,
